Date,Open,High,Low,Close,Volume,Adj Close
2012-03-07,198.089996,198.570007,197.309998,197.770004,3346900,173.067391
2012-03-06,199.139999,199.639999,196.809998,197.259995,5214700,172.621084
2012-03-05,198.360001,201.190002,198.300003,200.660004,6938000,175.596412
2012-03-02,197.100006,198.889999,197.059998,198.809998,3727400,173.977483
2012-03-01,197.229996,198.470001,196.929993,197.529999,3560300,172.857363
2012-02-29,197.860001,199.169998,196.449997,196.729996,5117100,172.157285
2012-02-28,197.75,198.960007,197.429993,197.979996,3167400,173.251153
2012-02-27,196.779999,198.710007,196.100006,197.529999,3758400,172.857363
2012-02-24,198.380005,198.559998,196.610001,197.759995,3353200,173.058631
2012-02-23,193.869995,199.229996,193.279999,197.610001,8032700,172.927372
2012-02-22,193.029999,194.740005,192.75,193.869995,3275800,169.654515
2012-02-21,193.729996,194.240005,192.460007,193.389999,3293600,169.234474
2012-02-17,193.710007,193.860001,192.300003,193.419998,3746500,169.260725
2012-02-16,192.610001,193.25,192.00,193.020004,3525500,168.910693
2012-02-15,192.309998,193.440002,191.259995,192.25,4020900,168.236867
2012-02-14,191.759995,192.600006,190.830002,192.220001,3398100,168.210615
2012-02-13,193.309998,193.690002,191.740005,192.619995,2458800,168.560647
2012-02-10,191.759995,192.429993,191.279999,192.419998,3391100,168.385631
2012-02-09,193.029999,194.460007,192.550003,193.130005,3876400,169.006954
2012-02-08,192.779999,193.580002,191.729996,192.949997,3803800,168.84943
2012-02-07,192.449997,194.139999,191.970001,193.350006,3433000,168.543152
2012-02-06,192.479996,193.759995,192.00,192.820007,3639800,168.081152
2012-02-03,192.929993,194.130005,192.539993,193.639999,4521700,168.795939
2012-02-02,192.720001,193.330002,191.330002,191.529999,3907300,166.956652
2012-02-01,193.210007,194.809998,192.410004,192.619995,5088800,167.906802
2012-01-31,193.089996,193.100006,191.00,192.600006,4826800,167.889377
2012-01-30,189.389999,192.729996,188.220001,192.50,4359000,167.802202
2012-01-27,190.009995,191.770004,189.809998,190.460007,3360400,166.02394
2012-01-26,191.789993,192.789993,190.470001,190.979996,4004700,166.477215
2012-01-25,191.330002,192.240005,189.610001,191.729996,4359700,167.130989
2012-01-24,188.630005,192.300003,188.520004,191.929993,5345700,167.305327
2012-01-23,187.910004,190.520004,187.669998,189.979996,5751700,165.605515
2012-01-20,185.770004,188.970001,184.75,188.520004,12849700,164.332841
2012-01-19,181.789993,182.360001,180.350006,180.520004,8567200,157.359243
2012-01-18,179.830002,181.600006,179.50,181.070007,4600600,157.83868
2012-01-17,180.360001,182.00,179.320007,180.00,6003400,156.905955
2012-01-13,179.479996,179.610001,177.350006,179.160004,5279200,156.17373
2012-01-12,181.860001,181.910004,178.380005,180.550003,6881000,157.385393
2012-01-11,180.729996,182.809998,180.50,182.320007,4110800,158.928305
2012-01-10,183.229996,183.720001,181.199997,181.309998,5161000,158.04788
2012-01-09,182.199997,182.270004,180.270004,181.589996,5201200,158.291954
2012-01-06,184.389999,184.479996,182.309998,182.539993,4897100,159.120067
2012-01-05,184.809998,185.029999,183.100006,184.660004,4463100,160.968079
2012-01-04,185.570007,186.330002,184.940002,185.539993,4346700,161.735166
2012-01-03,186.729996,188.710007,186.00,186.300003,5646000,162.397666
2011-12-30,186.330002,186.479996,183.850006,183.880005,3530900,160.288154
2011-12-29,184.070007,186.229996,184.009995,186.179993,2941600,162.293053
2011-12-28,185.190002,185.399994,183.339996,183.990005,2872000,160.384042
2011-12-27,184.970001,185.850006,184.389999,184.949997,2775200,161.220866
2011-12-23,183.110001,184.850006,181.889999,184.75,3052300,161.046529
2011-12-22,182.710007,182.800003,181.00,182.039993,5052000,158.684217
2011-12-21,183.220001,183.50,179.039993,181.470001,9282500,158.187355
2011-12-20,185.50,187.330002,184.759995,187.240005,4740100,163.217066
2011-12-19,184.509995,184.690002,182.25,182.889999,5039900,159.425167
2011-12-16,188.009995,188.009995,181.910004,183.570007,11849400,160.01793
